User ID,User display name,Timestamp,আপনি কত সালে প্রথমবার লিনাক্স ব্যবহার করেছেন?,আপনি প্রথমবার কোন ওএস ব্যবহার করছেন?,আপনি এখন কোন প্রসেসর ব্যবহার করছেন?,আপনার সিস্টেমে কত RAM আছে?,আপনি এখন কোন ওএস ব্যবহার করছেন?,আপনি এখন কোন ডেস্কটপ এনভায়রনমেন্ট ব্যবহার করছেন?,আপনি কি টাইলিং উইন্ডো ম্যানেজার ব্যবহার করেন?,আপনি এখন কোন টাইলিং উইন্ডো ম্যানেজার ব্যবহার করছেন?,আপনি কোন টার্মিনাল এমুলেটর ব্যবহার করেন?,আপনার প্রিয় শেল (Shell) কোনটি?,আপনি কোন বাংলা কিবোর্ড লেআউট ব্যবহার করেন?,আপনি এখন কোন ব্রাউজার ব্যবহার করছেন?,আপনি নোট নেওয়ার জন্য কোন অ্যাপ ব্যবহার করেন?,আপনি কোন পাসওয়ার্ড ম্যানেজার ব্যবহার করেন?
,Anonymous user,2025-12-19T07:01:44+06:00,2022,Kali Linux,x86_64,16GB,Kali Linux,GNOME,হ্যাঁ,i3wm,GNOME Terminal,Bash,অভ্র,Brave,Google Keep,Proton Pass; Proton pass
,Anonymous user,2025-12-19T22:55:43+06:00,2018,Ubuntu,x86_64,8GB,NixOS,None,হ্যাঁ,Hyprland,Alacritty,Fish,অভ্র,Google Chrome,Org Roam; Obsidian,
,Anonymous user,2025-12-19T23:01:34+06:00,2023,Kali Linux,x86_64,4GB,Fedora,GNOME,না,GNOME Shell (Wayland),GNOME Terminal,Zsh,জাতীয়,Brave,Obsidian,Proton Pass
,Anonymous user,2025-12-20T09:06:21+06:00,2018,Porteus XFCE,x86_64,16GB,Pop!_OS,XFCE,না,None,Xfce Terminal,Zsh,অভ্র,Mozilla Firefox,Nextcloud Notes,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-20T10:02:04+06:00,2018,Ubuntu,x86_64,16GB,Fedora,Hyprland,হ্যাঁ,Hyprland,Kitty,Zsh,প্রভাত,Google Chrome,Notion; Obsidian; Google Keep; Samsung Notes; Apple Notes,Proton Pass
,Anonymous user,2025-12-20T10:13:11+06:00,2018,Debian,x86_64,32GB,Debian,GNOME,হ্যাঁ,Hyprland,Konsole,Zsh,অভ্র,Brave,Obsidian,Bitwarden
,Anonymous user,2025-12-20T12:17:24+06:00,2025,ArchLinux,x86_64,8GB,ArchLinux,None,হ্যাঁ,Hyprland,Ghostty,Zsh,None,Zen Browser,Obsidian,Proton Pass
,Anonymous user,2025-12-20T16:33:37+06:00,2018,Ubuntu,x86_64,8GB,Linux Mint,Cinnamon,না,None,GNOME Terminal,Zsh,অভ্র,Microsoft Edge,Google Keep; Apple Notes,2FAS Auth
,Anonymous user,2025-12-21T01:21:15+06:00,2019,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,,Bash,অভ্র,Google Chrome,Google Keep; Notion,
,Anonymous user,2025-12-21T10:02:57+06:00,2020,Ubuntu,x86_64,8GB,Fedora,GNOME,না,None,GNOME Terminal,Zsh,প্রভাত,Mozilla Firefox,Samsung Notes,None
,Anonymous user,2025-12-21T12:04:15+06:00,2014,Linux Mint,x86_64,16GB,ArchLinux,Hyprland,হ্যাঁ,Hyprland,Kitty,Zsh,অভ্র,Google Chrome,Notion; Obsidian,Bitwarden
,Anonymous user,2025-12-21T22:47:31+06:00,2023,Ubuntu,x86_64,8GB,Ubuntu,XFCE,না,,GNOME Terminal,Bash,জাতীয়,Google Chrome,Google Keep,
,Anonymous user,2025-12-22T11:38:53+06:00,2022,Ubuntu,x86_64,4GB,Fedora Kinoite ,KDE,হ্যাঁ,i3wm,Konsole,Bash,পথ-মাঠ,Google Chrome,Notion,Proton Pass
,Anonymous user,2025-12-22T18:01:00+06:00,2025,Debian,x86_64,8GB,Fedora,KDE,না,None,Konsole,None,ক্ষিপ্র,Google Chrome,,
,Anonymous user,2025-12-22T22:40:17+06:00,2022,Ubuntu,x86,16GB,ArchLinux,Hyprland,হ্যাঁ,Hyprland,Ghostty,Fish,অভ্র,Brave,Notesnook,Proton Pass
,Anonymous user,2025-12-23T08:56:40+06:00,,Ubuntu,,16GB,Ubuntu,,,,,Bash,অভ্র,Mozilla Firefox,Mi note,Bitwarden
,Anonymous user,2025-12-23T15:04:56+06:00,2022,Fedora,x86_64,16GB,Fedora,GNOME,না,,GNOME Terminal,Bash,অভ্র,Zen Browser,Obsidian,"Bitwarden; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-24T01:52:24+06:00,2018,Fedora,x86_64,16GB,Omarchy,GNOME,হ্যাঁ,Hyprland,Kitty,Zsh,অভ্র,Servo,MemoirCapsule,Bitwarden
,Anonymous user,2025-12-24T08:34:45+06:00,2023,Red Hat,,32GB,Ubuntu,GNOME,না,Awesome,GNOME Terminal,Bash,জাতীয়,Google Chrome,Google Keep,Bitwarden
,Anonymous user,2025-12-24T09:52:57+06:00,2017,Linux Mint,x86_64,8GB,EndevourOS,XFCE,হ্যাঁ,i3wm,GNOME Terminal,Zsh,অভ্র,Google Chrome,Notion; Obsidian; Evernote; Google Keep,Bitwarden
,Anonymous user,2025-12-24T21:09:20+06:00,2011,Ubuntu,x86_64,24GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Brave,Google Keep,Bitwarden
,Anonymous user,2025-12-25T13:31:51+06:00,2013,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Zsh,প্রভাত,Brave,Notion; Standard Notes,Bitwarden
,Anonymous user,2025-12-25T16:23:27+06:00,2022,ArchLinux,x86_64,16GB,ArchLinux,KDE,না,KWin,Konsole,Bash,অভ্র,,Telegram,
,Anonymous user,2025-12-25T22:54:28+06:00,2022,Fedora,x86_64,16GB,Manjaro,KDE,হ্যাঁ,i3wm,Kitty,Fish,অভ্র,Mozilla Firefox,Obsidian,Bitwarden
,Anonymous user,2025-12-27T03:34:00+06:00,,Kali Linux,arm64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Zsh,অভ্র,Mozilla Firefox,Google Keep,
,Anonymous user,2025-12-27T10:27:59+06:00,2006,Red Hat,x86_64,32GB,Alma Linux,GNOME,না,None,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Google Keep,Google Passward Manager
,Anonymous user,2025-12-27T11:45:34+06:00,,Ubuntu,x86,32GB,Ubuntu,GNOME,হ্যাঁ,Awesome,Kitty,Bash,অভ্র,Microsoft Edge,Notion,
,Anonymous user,2025-12-30T21:25:38+06:00,2011,Ubuntu,x86_64,8GB,Linux Mint,Cinnamon,না,None,GNOME Terminal,Zsh,,Vivaldi,Notion; Obsidian,Bitwarden
,Anonymous user,2026-01-12T12:24:05+06:00,2023,ArchLinux,arm64,10GB,Void Linux,XFCE,না,i3wm,Xfce Terminal,Bash,অভ্র,Chromium,Mousepad,Bitwarden
,Anonymous user,2026-01-27T10:46:39+06:00,2013,Linux Mint,x86_64,4GB,"Elementary os; Linux Mint",XFCE,না,,GNOME Terminal,,জাতীয়,Google Chrome,Google Keep,LastPass
,Anonymous user,2026-02-02T13:57:00+06:00,,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Obsidian,None
,Anonymous user,2026-02-09T00:46:00+06:00,2020,Kali Linux,x86,6GB,Linux Mint,XFCE,না,,Xfce Terminal,Zsh,Google Input Tools,Brave,Notion,bolbona
